"key","ko","note"
"quest_side_heartland_orefetch_line_01","이번엔 진짜/ 제대로 만들어볼 거야.","수주 대사(핀토), 신규"
"quest_side_heartland_herbrun_title","머루 할머니의 특별 손님",""
"quest_side_heartland_herbrun_desc","귀한 손님이 온다며 머루 할머니가 재료를 부탁한다.",""
"quest_side_heartland_herbrun_obj_01","머루 할머니와 대화하기",""
"quest_side_heartland_herbrun_obj_02","약초 4개 채집하기",""
"quest_side_heartland_herbrun_obj_03","야생 버섯 2개 채집하기",""
"quest_side_heartland_herbrun_line_01","오늘은 국을/ 좀 특별하게 끓여볼까 해.","수주 대사(머루 할머니), 신규"
"quest_side_heartland_waypoint_title","저 언덕 너머",""
"quest_side_heartland_waypoint_desc","테오가 언덕 위 비석 하나를 미리 켜두자고 한다.",""
"quest_side_heartland_waypoint_obj_01","언덕 위 비석으로 이동하기",""
"quest_side_heartland_waypoint_obj_02","비석 활성화하기",""
"quest_side_heartland_waypoint_line_01","저기 보이는 비석 하나쯤은/ 미리 켜두자.","수주 대사(테오), 신규"
"quest_side_heartland_waypoint_line_02","돌아올 때 편해질 거야.","수주 대사(테오), 신규"
"quest_daily_heartland_01_title","게시판 의뢰: 목초지 파수",""
"quest_daily_heartland_01_desc","목초지에 {몬스터}가 늘었어. {수량}마리만 줄여줘 — 가축들이 겁먹으면 젖이 안 나온단 말이야.","characters.md 5.1절 원문(요청자 로젤)"
"quest_daily_heartland_01_obj_01","{몬스터} {수량}마리 처치하기",""
"quest_daily_heartland_02_title","게시판 의뢰: 여관 재료 납품",""
"quest_daily_heartland_02_desc","여관 손님이 늘어서 재료가 부족해. {몬스터}에게서 나오는 재료 {수량}개만 구해다 줄래?","characters.md 5.1절 원문(요청자 머루 할머니)"
"quest_daily_heartland_02_obj_01","{몬스터} 재료 {수량}개 납품하기",""
"quest_daily_heartland_03_title","게시판 의뢰: 대장간 앞 정리",""
"quest_daily_heartland_03_desc","대장간 앞에 {몬스터}가 자꾸 얼쩡거려서 손님이 무서워해. {수량}마리만 쫓아내 줘, 브람한텐 비밀이야.","characters.md 5.1절 원문(요청자 핀토)"
"quest_daily_heartland_03_obj_01","{몬스터} {수량}마리 처치하기",""
